item_id,item_name,brand,warranty,price_mrp,price_dealer,qty_in_stock,updated_on
E-701,Bluetooth Earbuds Pro,SoundMax,12 months,2499,1850,45,2026-07-20
E-702,Power Bank 20000mAh,ChargeUp,6 months,1799,1320,60,2026-07-19
E-703,Smart Watch Fit Series,TimeTech,12 months,3499,2700,15,2026-07-18
E-704,USB-C Fast Charger 65W,VoltEdge,6 months,1299,940,90,2026-07-19
E-705,Wireless Mouse Silent,ClickPro,12 months,749,540,70,2026-07-17
E-706,Phone Cover iPhone 15 Clear,GuardX,none,399,220,120,2026-07-16
E-707,Tempered Glass Pack of 10,GuardX,none,900,650,0,2026-07-15
E-708,Bluetooth Speaker Mini,SoundMax,12 months,1599,1180,25,2026-07-18
E-709,Car Phone Holder Magnetic,GripOn,3 months,549,380,55,2026-07-14
E-710,Laptop Sleeve 15.6 inch,SafePack,none,799,560,30,2026-07-17
