sku,product,brand,age_group,mrp,price_bulk_dozen,stock,last_updated
T-501,Remote Control Racing Car,SpeedKing,6+,1450,1180,40,2026-07-20
T-502,Building Blocks 250pc Set,BrickZone,4+,899,720,65,2026-07-19
T-503,Talking Teddy Bear Large,CuddleSoft,3+,1250,990,22,2026-07-18
T-504,Board Game Snakes and Ladders Deluxe,FunTime,5+,450,340,80,2026-07-17
T-505,Doll House 3-Floor,DreamPlay,4+,2850,2400,8,2026-07-16
T-506,Cricket Set Junior,SportStar,7+,780,610,0,2026-07-15
T-507,Puzzle 1000pc Landscape,MindCraft,10+,550,430,35,2026-07-19
T-508,Battery Bike Ride-On,ZoomZoom,3+,4200,3650,5,2026-07-14
T-509,Science Experiment Kit,SmartLab,8+,1100,880,28,2026-07-18
T-510,Stuffed Elephant Grey,CuddleSoft,0+,650,510,50,2026-07-17
